id,name,industry,source,lead_status,notes,ma_status,international,locations,company_type,description,product_line,state,city,revenue,website,employees,franchise,top_franchise,demography,ticket,activities,membership,geo_focus,indoor_outdoor,col_25
125,Me Land Gaithersburg,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,age separation,,,1,Private Company,"Me Land Gaithersburg is a private indoor playground and family entertainment center located in Gaithersburg, Maryland. The facility features specialized play areas for different age groups, including a Tot Zone, Ball Pit Zone, and Big Kids Zone. They offer a variety of activities such as open play sessions, birthday parties, and group events. The center is designed to provide a safe, imaginative, and memorable experience for children, promoting creativity and active play",,Maryland,Gaithersburg,-,https://melandgaithersburg.com/,-,No,NA,Kids,$16.99 - $22.99,"Play areas, Birthday parties, Special Events, field trips and group events",,Gaithersburg,Indoor,
126,Monkey Around Indoor Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Monkey Around Indoor Playground is a play café in Billings catering to kids aged 10 and under. The facility offers a variety of indoor playground equipment to encourage active play. It provides a safe and fun environment for children to explore and enjoy, making it a popular destination for families in the area.","Indoor playground equipment, play café.",Montana,Billings,-,https://www.monkeyaroundbillings.com/,-,1,-,-,,"Indoor playground equipment, play café.",,Montana,Indoor,
127,Montana Great indoor,1. Indoor Kid/Toddler Play Zone,TV - 12/11/2024,,,,,1,Privately Managed,"this indoor playground features climbing towers, ninja-style run-up ramps, and a café","Indoor gaming , sports zone",Montana,Kalispell,<$5.0,https://www.mtgreatindoors.com/,<25,1,0,2- 13 years,$13 - $ 275,"Indoor gaming , sports zone",Yes,Montana,Indoor,
128,My Kid's Place,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor play space made to encourage kids to use their imaginations and engage their senses, so they can learn important skills while having a great time",,Connecticut,Colchester,-,https://mykidsplacellc.com/,-,1,-,-,"$13 / child
Membership - $42 - $580\","Indoor Play Space, Parties",Yes,Connecticut,Indoor,
129,Nana's Play Place,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Nana's Play Place offers a safe and fun environment for kids of all ages. The indoor playground features various themed play areas that encourage imaginative play and physical activity. It is a perfect destination for families looking for a clean and enjoyable place for their children to play.,"Indoor playground, themed play areas.",Missouri,Springfield,-,https://nanasplayplace.com/,-,1,-,0 - 8 Years,$12 per child for age between 2-8 years,"Indoor playground, themed play areas.",,Missouri,-,
130,Natural Nest Play Café,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,"Natural Nest Play Cafe is an innovative place for parents to take their young children to explore a fun and exciting play area. Parents can relax or interact with other caregivers in a café lounge and seating area while enjoying organic beverages, and snacks.","Play , coworking , party , Classes",Delaware,"Newark , Middletown",<$5 million,https://naturalnestplay.com/,2-10 empployees,2,0,0,$15 - $175,"Play , coworking , party , Classes",Yes,Delaware,Indoor,
131,Nest Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Our mission is to create a fun and safe play space for kids and parents while giving parents time for self care.,Kids Playground,Oregon,Portland,<$5 million,https://www.nestplayground.com/,0,1,0,1-12 years,<$14,"indoor playground, Rock Climbing , slides",,Oregons,Indoor,
132,Newtopia Fun Park,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Indoor playground facility designed for children,,Alabama,Montgomery,<$5,https://www.newtopiafunpark.com/,<25,1,-,1-12 Years,"Private Play - $100 - $250
Walk N Play $12.99 - $13.99","Obstacle Courses, Soft play rides, Play area for toddlers",Yes,Alabama,Indoor,
133,Nola Kid's Ground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"NOLA Kidsground was founded by local New Orleanians in 2019 in hopes of creating a kid-friendly space that is also comfortable for adults. Combined, the owners have management and prior coffeehouse experience, as well as experience working at local children's museums and schools.","Open play , Indoor play ground , Family entertainment center",Lousianne,New Orleans,0,https://www.nolakidsground.com/,0,1,0,0,$11 pp,"Open play , Indoor play ground , Family entertainment center",,Lousianne,Indoor,
134,Nugget Nation MKE,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Nugget Nation MKE was created to provide the Brookfield and Milwaukee, Wisconsin area with the best indoor play center around. They offer a safe, clean, and stimulating environment for physically active children ages 10 and under to play in and explore. Our indoor play center facility strives to ensure children’s health and safety, while challenging kids to reach, think, interact, explore, and have fun.","Indoor play area , Birthday parties , Events",Wisconsin,Brookfield,0,https://nuggetnationmke.com/,0,1,0,23 months - 9 years,$15 pp,"Indoor play area , Birthday parties , Events",,Wisconsin,Indoor,
135,Obstacle warrior kids,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Obstacle Warrior Kids is an indoor obstacle course gym located in Sandy, Utah. Inspired by the popular TV show American Ninja Warrior, it offers a variety of obstacles designed for children of all ages and abilities","Obstacle courses , classes and events, open play",Utah,Sandy,0,https://owkgarland.com/blog,0,1,0,1 years - 5+ years,$8 - $19,"Obstacle courses , classes and events, open play",yes,Utah,Indoor,
136,Off the Wall Kidz,1. Indoor Kid/Toddler Play Zone,TV - 11/27/2024,,,,,2,Private Company,"Off the Wall Kidz is a operator of an indoor playground, the company offers a maze of climbing structures, fun slides, soft climbing areas, trampolines and bridges, thereby providing hours of fun, engaging, and constructive play.",,Massachusetts,Carver,-,https://www.offthewallkidz.com/,-,2,-,Mixed,"Age 2+ $18
Ages 12-23 months $15","Fun Games, Open Play",NA,Massachusetts,Indoor,
137,Oodazu,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"odazu is a haven for kids. Book play time & camp on our products page, contact us for a birthday party, or shop at Oodazu Party Boutique for premium party supplies, gifts, decor, balloons and more! A spot to play, climb, slide, center, connect and so much more","Slide , spot to play , climb , center",Georgia,Buckhead,<$5 million,https://oodazu.com/,<25 employees,1,0,0,$10 - $75,"Slide , spot to play , climb , center",Yes,Georgia,Indoor,
138,Panther Playroom LLC,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Indoor play area best suited for children birth to 8 years old,,Alabama,Wetumpka,-,https://www.pantherplayroomllc.com/,-,1,-,Upto 8 years,$7.5 per child / hour,"Ball Pool, Slides, Play area",Yes,Alabama,Indoor,
139,Party Jungle,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor amusement park with arcade, carnival rides and jungle gym",,Arizona,Phoenix,-,https://www.party-jungle.com/#_aboutus,-,1,-,2 - 10 years,$19.95 / child,"5 Carnival-style Rides, Mini Golf, Lazer Tag, Jungle Gym, 5 Private Party Rooms",Yes,Arizona,Indoor,
140,Peekabooboo’s Play Cafe,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Peekabooboo’s Play Cafe is an indoor playground designed for children and their adults to relax, hang out, and have fun. The café offers a lively atmosphere with themed play areas that encourage imaginative play. It is a great spot for parents and grandparents to unwind and connect while their little ones explore and play.","Indoor playground, café, themed play areas.",Minnesota,Albertville,,Play Cafe | Peeka Boo Boo's | Albertville,-,1,-,-,,"Indoor playground, café, themed play areas.",,Minnesota,Indoor,
141,Peppa Pig World of Play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,5,Private Company,"PEPPA PIG World of Play is an indoor play center specifically designed for preschool little ones! Giggle your way through 14 themed areas of free-roaming play bringing Peppa Pig’s world to life like never before. Jump, laugh, play, imagine and giggle with an oinktastic visit.",14 Themed Area,Michigan,Auburn Hills,<$5,Peppa Pig World of Play | Oinktastic Fun Awaits,<25,5,-,-,Tickets from $18,14 Themed Area,,Michigan,Indoor,
142,Pipkopye's town,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,"Pikopye's Town is much more than just an indoor play ""town."" It's a vibrant hub for families to come together, explore their creativity, and make lasting memories. We're not just another play space – we're a community-driven destination with a passion for both fun and sustainability.","Café , party hall , play space area",Texas,"South Austin , Lakeway",0,https://www.pikopyestown.com/,0,2,0,0,0,"Café , party hall , play space area",yes,Texas,Indoor,
143,Play & Stay,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Contained space where kids can run around freely to an activity room with guided crafts, activities and dance sessions",,Arizona,Scottsdale,-,https://playandstayaz.com/,-,1,-,Upto 6 years,$30 / child,"Play Area, Ball Pool, Guided Crafts, Dance Sessions",Yes,Arizona,Indoor,
144,Play Ground for kids,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Located in Ankeny, this indoor play space includes inflatables, a treehouse structure with a triple lane rainbow slide, and a Wacky Ball room.","Rainbow slides , wacky ball room , treehouse structures inflatables",Lowa,Ankeny,<$5 million,https://www.theplaygroundforkids.com/,<25,1,0,2-12 years,$8 - $75,"Rainbow slides , wacky ball room , treehouse structures inflatables",,Lowa,Indoor,
145,Play Happy Café,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"PlayHappy Cafe in Lynnwood! This adorable cafe features 2,000 sq ft of indoor play space designed specially for those little ones up to 6 years.","toddler free area , cofee shop , birthday events",Washington,Lynnwood,$8.3 million,https://www.familydaysout.com/attractions-usa/playhappy-café,25,1,0,upto 6 years,$2 -$12,"toddler free area , cofee shop , birthday events",,Washington,Indoor,
146,Play Haven,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Play Haven is an Indoor Play Space specially designed for infants, toddlers, & children ages 7 and under. Our open-concept imaginative play space encourages exploration, creativity and independence while in a fun, clean, safe and comfortable environment.","Private play , birthday parties , special events",Florida,Brandon,0,https://playhavenfl.com/,0,1,0,1 >,$3.50 - $15.50,"Private play , birthday parties , special events",Yes,Florida,Indoor,
147,Play n Wiscosin,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"PlayN Wisconsin is an indoor playground and outdoor play equipment retailer located in Middleton, Wisconsin","Indoor play area , Outdoor play equipement , Open play sessions",Wisconsin,Middleton,<$5 Million,https://playnwisconsin.com/,<25 employees,1,0,6 to 12 years,0,"Indoor play area , Outdoor play equipement , Open play sessions",,Wisconsin,Indoor,
148,Play Town,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,An imaginative play center designed for parents and children to play together and learn,,Arkansas,Benton,-,https://playtownbenton.com/,-,1,-,6 months to 8 years,$5 - $10,"Slides, Play Area",,Arkansas,Indoor,
149,Playbox Indoor Playland,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"At Playbox Indoor Playland, we believe that all children benefit from running around and pushing the boundaries of what they can do – at least once a day.",toddler playground,Oklahoma,Mustang,<$5 million,https://www.playboxindoorplayland.com/,0,1,0,9 months - 12 years,$12 - $20,"Trampoline park , slides , soft carpet activities",,Oklahoma,Indoor,
150,Playfactory and café,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,The play factory is a Montessori based play area that allows for creativity and play in a clean and functional space. We are the only indoor playground that offers unlimited all day play. The Cafe is designed with families in mind. Enjoy endless imaginative play for your littles and caffeine for you.,"Café , game zone , indoor playground",Florida,JacksonVille,<$5 million,https://www.playfactoryandcafe.com/,<25 employees,1,0,0-6 years,$15 +,"Café , game zone , indoor playground",yes,Florida,Indoor,
151,Playhouse,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playground with  soft surfaces, inclusive equipment, ball pits, slides and climbers",,Connecticut,Fairfield,-,https://www.playhousefairfield.com/about-us,-,1,-,Upto 7 years,"Membership - $120 - $180
$17 / child","Ball Pool, Slides, Play area, Pits, Climbers",Yes,Connecticut,Indoor,
152,Playzona,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Provides kids play space, enrichment classes, birthday parties and special events",,Arizona,Glendale,-,https://playzonaaz.com/,-,1,-,Upto 7 years,Membership - $65 / month,"Themed Community Structures like  market, medical office, school, police/fire station, and a house, vehicles",Yes,Arizona,Indoor,
153,Pocono Kidz,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Pocono Kidz Zone is a boutique-style indoor play center created with the idea of providing a fun and safe place for kids to play, learn & socialize.",Indoor play center,Pennsylvania,Stroudsburg,0,https://poconokidzzone.com/,0,1,0,0,$13.50 pp - $30 pp,indoor games,yes,Pennsylvania,Indoor,
154,Polkadot Play,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"Operator of a play school aimed at providing a safe environment for children to play and learn. The company focuses on neurodiverse children with a safe and supportive place to be their authentic selves and a place for parents to connect with each other, enabling children and students to improve their performance and upskill through playing and enjoying",,Virginia,Virginia Beach,<5.0,https://www.playatpolkadot.com/,-,No,NA,Upto 6 years,10,"Open Play, Private Events, Special Events",,Virginia Beach,Indoor,
155,ProKids Place,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playground with Ball Cannons, Wall Game, Projector 30 games, Slides, Basketball Shoot, Air Hockey, Honey Comb",,Connecticut,Waterbury,<$5,https://prokidsplace.com/,5,1,-,Upto 8 years,$8 - 11 / per hr,"Ball Cannons, Wall Game, Projector 30 games, Slides, Basketball Shoot, Air Hockey, Honey Comb",,Connecticut,Indoor,
156,Pump It Up,1. Indoor Kid/Toddler Play Zone,TV - 11/27/2024,,,,,1,Private Company,"Pump It Up is an entertainment center that specializes in private birthday parties and programs like field trips, camps, open jump time, and other seasonal special events, they provide special lighting that makes for an even more epic inflatable playground experience, and kids love the glow-in-the-dark accessories",,Arizona,Scottsdale,6.3,https://www.pumpitupparty.com/,<25,1,-,Mixed,$199-$599,"Private Party, Open Play, Birthday Parties, special Events",,Arizona,Indoor,
157,Rainforest Play Zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Provides sensory, imaginative, physical play experiences to kids via obstacle courses and games",,Alaska,Juneau,-,https://www.rainforestplayzone.com/,-,1,-,-,"Membership - $60 - $150
Regular - $7 - $13","Imaginative, Sensory, Physical, Investigative, Creative Play activities",Yes,Alaska,Indoor,
158,Ready Set Fun,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Ready Set FUN! is a modern indoor playground located in Sandy Springs, Atlanta, Georgia","Play area , classes and camps , birthday events",Georgia,Atlanta,<$5 million,https://readysetfun.com/?utm_source=GBL&utm_medium=organic,<25 employees,1,0,1-8 years,0,"Play area , classes and camps , birthday events",Yes,Georgia,Indoor,
159,Rev'd Up Fun,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Rev'd Up Fun is a premium family fun center with state-of-the-art attractions, offering birthday party packages and group events. It features a café with food and craft beer, providing a stress-free environment for family entertainment.","Indoor activities including laser tag, ropes course, bumper cars, axe throwing, XD Dark Ride, and arcade games.",Michigan,Woodhaven,<$5,Arcade Bar & Family Fun - Revd Up Fun,<25,1,-,-,Starts from $380 for 10 participants,"Indoor activities including laser tag, ropes course, bumper cars, axe throwing, XD Dark Ride, and arcade games.",,Michigan,-,
160,SEA LIFE Aquarium,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,17 countries,50,Private Company,"SEA LIFE is the world’s largest family of aquariums and includes SEA LIFE Aquariums in North America including SEA LIFE Arizona, Carlsbad, Charlotte-Concord, Dallas/Fort Worth, Kansas City, Mall of America, Michigan, New Jersey , Orlando, and San Antonio. From its origins in 1979 in Oban, Scotland, SEA LIFE now provides immersive marine experiences in nearly 50 locations in 17 countries around the world.","Tours, VR Experience",Michigan,Auburn Hills,19.7,SEA LIFE Aquariums & Attractions | Official SEA LIFE website,1951,,-,-,Starts from $17,"Tours, VR Experience",,Michigan,-,
161,Share the Love Kidsclub,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playground, comfortable seating for parents, WIFI for remote workers, concessions, crafts, special events, birthday parties, and more",,Arkansas,Conway,<$5,https://sharethelove-797082.square.site/,<25,1,-,-,"$15 / child
Play Pass Bundle - $45 - $90
Membership - $440 - $605","Slides, Jungle Gym, Obstacles",Yes,Arkansas,Indoor,
162,Smugglers Notch Fun zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"At Smugglers’ FunZone 2.0, family fun is redefined with activities for everyone all year long! Enjoy ping-pong, mini-golf, air hockey, and our Bouncy House. Slide down the Giant Inflated Slide or get creative at the Arts & Crafts Station in Little’s Loft.","Laser Tag trampoline park , Arts and crafts station",Vermont,Jeffersonsville,0,https://www.smuggs.com/facilities/funzone-2-0-at-smugglers-notch-resort/,0,1,0,,$5-$20,"Laser Tag trampoline park , Arts and crafts station",,Vermont,Indoor,
163,South Shore Sports Center,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"We’ve taken the joy of a backyard game and created a space for all levels of players, from novice through experienced- our roster is open to all. We’re just a motley group of kids and adults who love sports and coming together to play them. Whether we’re learning, playing or training, we do it hard – and we do it together. From soccer to football to field hockey and more, there’s a sport – and a place – for everyone. Our goal is to use our love of sports to make our athletes into the best players – and people – they can be.","Soccer, basketball",Massachusetts,Hingham,<$5,South Shore Sports,<25,1,-,Kids above 1+,$10<,"Soccer, basketball",,Massachusetts,-,
164,Spring Adventure park,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Springs Adventure Park is an indoor family fun center located in Colorado Springs, Colorado","Trampoline , Ninja warrior course , Inflatables , dodgeball courts",Colorado,Colorado springs,0,https://www.springsadventurepark.com/,0,1,0,5 - 12 years,$2-$13 pp,"Trampoline , Ninja warrior course , Inflatables , dodgeball courts",,Colorado,Indoor,
165,Superior Play Systems,1. Indoor Kid/Toddler Play Zone,TV - 11/27/2024,,,,,5,Private Company,"Company is a outdoor play systems and recreational sports equipment, including trampolines, basketball hoops, and wooden play sets for parents and grandparents who wish to inspire healthy, active and safe play in their children","Wooden Playsets, Trampolines, Basketball Hoops, Commercial Playgrounds, Multi Game Courts, Safety Surfacing, Birthday Parties,",Pennsylvania,Norristown,18.3,https://superiorplay.com/,63,5,-,-,-,"Climbing Structures, Slides, Swings",,Pennsylvania,Indoor,
166,Superkids club,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"This indoor playground features slides, tunnels, ball pits, and areas specifically for younger children.","Slides , tunnels , ball pits , indoor play area",Kansas,Shawnee,<$5 million,https://www.superkidzclub.net/,<25,1,0,0-15 years,$5 - $18,"Slides , tunnels , ball pits , indoor play area",Yes,Kansas,Indoor,
167,TeenyTown Playland,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"2,000 square foot town filled with 8 different play houses",,Arizona,Litchfield,-,https://teenytownplayland.com/,10,1,-,Upto 10 years,"$15 / 2 hrs
Membership - $25 - $100 / month","Themed Toys and Games, Learn through Play",Yes,Arizona,Indoor,
168,Tennesse Kids co,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Here at TN Kids Co, we are all about providing a safe and fun indoor playground for kids to be kids! ​","Large ball pit , swings , soft building blocks",Tennessee,Nolensville,<$5 Million,https://www.tnkidsco.com/about-1,11 to 50,1,0,0-12 years,$5-$20,"Large ball pit , swings , soft building blocks",,Tennessee,Ìndoor,
169,The Bounce Palace,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"The Bounce Palace offers a fun and safe environment for kids to enjoy a variety of inflatables, mini golf, and arcade games. The facility is designed to provide hours of entertainment for children of all ages, making it a popular destination for birthday parties and family outings.","nflatables, mini golf, arcade games.",Mississippi,Pearl,<$5,The Bounce Palace,<25,1,-,-,,"nflatables, mini golf, arcade games.",,Mississippi,-,
170,The Jumping Jungle,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"The Jumping Jungle is a private indoor recreation center located in East Brunswick, New Jersey. It features a 10,000 square foot facility equipped with inflatable play structures and a laser tag arena. The center offers a variety of activities, including open play sessions, birthday parties, and group events. Known for its clean and safe environment, The Jumping Jungle provides a fun and engaging space for children to play and celebrate special occasions",,New Jersey,East Brunwick,<5.0,https://www.jumpingjungle.com,11-50,No,NA,Upto 12 years,-,"Open Play, Private Events, Birthday parties, Laser tag, Summer camps",,East Brunwick,Indoor,
171,The Kids Cave,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playground, designed with modern aesthetics and a splash of rainbow colors",,Arizona,Peoria,-,https://thekidscave.com/,-,1,-,Upto 6 years,$14 / child,"Toy, Games and Indoor Play",,Arizona,Indoor,
172,The Little Green Tambourine,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"The Little Green Tambourine was founded out of sheer love for kids, and a need to provide a positive, comfortable, clean, and safe space for kids to laugh, learn, play and grow.  The Little Green Tambourine started as just an idea but quickly grew to a clean, safe space where parents could bring their kids, with confidence that their child will be treated with patience and compassion.","Events, camps, parties",Connecticut,Canton,0,https://www.tlgtcanton.com/,2-10 empployees,1,0,0,0,"Events, camps, parties",,Connecticut,Indoor,
173,The Little Play Space LLC,1. Indoor Kid/Toddler Play Zone,TV - 12/09/2024,,,,,1,Private Company,"The Little Play Space LLC focuses on nurturing gross motor skills, fine motor skills, and social development in young minds. The space includes a grand play structure, dramatic play stations, climbing structures, ride-on toys, and engaging imaginative and building play areas featuring magnet tiles and Legos. There is also a dedicated space for non-walking infants, complete with soft play and sensory-rich activities.","Developmentally appropriate toys and activities, play structure, dramatic play stations, climbing structures, ride-on toys, imaginative and building play areas.",Maine,Auburn,-,https://www.thelittleplayspaceme.com/,-,1,-,Young children,Membership starts from $50 per month,"Developmentally appropriate toys and activities, play structure, dramatic play stations, climbing structures, ride-on toys, imaginative and building play areas.",-,Auburn,Indoor,
174,The Monkey House,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Offers open play for everyone who wants to come in, as well as options for both parties that can be scheduled during open play for longer bouncing opportunities, or as a private party where bounce time is limited to one-hour",,Arkansas,Fort Smith,-,https://monkeyhousebounce.com/,-,1,-,-,$9 / child,Bounce Houses & play area,,Arkansas,Indoor,
175,The nestling Collective,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Located in Jacksonville Beach, this Montessori-style indoor play place features a large slide, swings, a water table, and more","large slide, swings, a water table, party events",Florida,JacksonVille Beach,<$5 million,https://thenestlingcollective.com/,<25 employees,1,0,0,$25-$225,"large slide, swings, a water table, party events",Yes,Florida,Indoor,
176,The Play lot,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"the playLOT where the kids can climb, swing, jump, and slide all their energy out! Bring a friend and have a moment to chit chat while your little plays the day away.","Jump , Slides , swings , climb",Maine,Biddeford,0,https://heartofbiddeford.org/listing/the-playlot/,0,1,0,0,0,"Jump , Slides , swings , climb",,Maine,Indoor,
177,The Play Pit,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"The Play Pit is Norman’s largest, safest and ONLY indoor play space designed to engage children so parents and caregivers can work, relax and network to help our community grow!","Kid's Playhouse , Trampoline park",Oklahoma,Norman,0,https://www.playpitnorman.com/,0,1,0,0,$17 >,"Kid's Playhouse , Trampoline park ,slides , climbing ladders",,Oklahoma,Indoor,
178,The play zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"The Play Zone offers a fun, safe, colorful and of course playful indoor space for kids up to 10 years to use those imaginations and creativity! This indoor play space features a fun play structure great for active kids, with tunnels to hide in, slides to zoom down, and climbing structures to scale!","car rides , tickish ball pits ,customized party",South Carolina,HartsVille,<$5 million,https://www.familydaysout.com/attractions-usa/the-play-zone,0,1,0,0-10 years,$5-$8 Per hour,"tunnels to hide in, slides to zoom down, and climbing structures to scale!",,South Carolina,Indoor,
179,The Playhouse,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playspace with Ball Pits, Soft Play, Imaginative Play",,Arizona,Mesa,-,https://www.theplayhouseaz.com/,-,1,-,Upto 7 years,$17 / child,"Ball Pits, Soft Play, Imaginative Play",,Arizona,Indoor,
180,The point,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"The Point was designed to provide a place for people to engage with the Greater Portland community and to be a resource for our region through hosting events, serving our community, and having a free space for families to bring their kids to play.","Meeting lounge , Indoor turf , Gymnasium , party lounge , play scape , point café",Maine,South Portland,0,https://www.thepoint.community/,0,1,0,0,0,"Meeting lounge , Indoor turf , Gymnasium , party lounge , play scape , point café",,Maine,Indoor,
181,The Wonder Place,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor play facility for 8-&-under kids has climbing, drama & art activities & a toy store","Toys, Books, Art & Crafts etc.",Arkansas,Little Rock,<$5,https://www.thewonderplace.com/,8,1,-,Upto 8 years,"Membership - $40 - $250
$8.75 / child","Climbing Activities, Art & Craft, Drama Activities",Yes,Arkansas,Indoor,
182,Tig & Peach,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,2,Private Company,"Tig & Peach is a  play space founded by Amanda Star and Emily Donnelly in Pelham, New York, in the fall of 2019. The company offers a variety of engaging activities and services for children and families",,New York,Pelham,<5.0,https://www.tigandpeach.com/,11-50,-,-,Kids,35,"Open Play, Enrichment classes, Seasonal camps, birthday parties, Special events",,New York,Indoor,
183,Tiger Bounce,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Tiger Bounce is an indoor inflatable play center that offers a variety of bounce houses, slides, and obstacle courses. The facility includes a VIP toddler area and party rooms, making it an ideal location for birthday parties and family fun. It provides a safe and clean environment for children to play and burn off energy.","Inflatable play structures, toddler area, party rooms.",Missouri,Columbia,-,https://www.tigerbouncecolumbia.com/,2 to 10,1,-,0 - 12 Years,Upto $15 for santa Event,"Inflatable play structures, toddler area, party rooms.",,Missouri,Indoor,
184,Timber & Bow,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Timber & Bow Play Studio is committed to providing a safe and clean atmosphere for kids  alike to come together and have fun,"Play House , Garden shed, Gross moptor activities for infants and toddlers",Ohio,Troy,-,"About | Timber & Bow | Troy, Ohio",0,1,0,0-6 years,$5-295$,"Large Wooden playset, Play house and garden shed, Gross motor activities , parties and events",,Ohio,Indoor,
185,TNT fun play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Indoor Playground with various toys and play stations,,Arkansas,Hot Springs Village,-,-,-,1,-,-,-,"Slides, Ball Pool, Obstacles",,Arkansas,Indoor,
186,TRex Playland,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"T-Rex Playland is a private indoor children's activity and play center located in Norfolk, Virginia. The facility features a multi-level jungle gym, various inflatables, a dedicated toddler area, and an arcade with over 75 games for all ages. They also offer three party rooms and a concession stand, making it an ideal venue for birthday parties and group events.",,Virginia,Norfolk,-,http://trexplaylandllc.com/,-,No,NA,Kids and Children,"$22.0 for children over 36 inches, $13.20 for children under 36 inches","Multi Level jungle gym, Inflatables, toddler area, arcade, Birthday parties, Special Events",,Norfolk,Indoor,
